"candidate","Party","Votes","State","const","winner"
"NAGMA","Indian National Congress",42911,"Uttar Pradesh","Meerut",0
"DR. (EX. MAJ) HIMANSHU SINGH","Aam Aadmi Party",11793,"Uttar Pradesh","Meerut",0
"None of the Above","None of the Above",5213,"Uttar Pradesh","Meerut",0
"SUNIL DUTT","Independent",1734,"Uttar Pradesh","Meerut",0
"MUKESH KUMAR","Independent",1542,"Uttar Pradesh","Meerut",0
"MOHD.USMAN GHAZI","Rashtriya Apna Dal",1451,"Uttar Pradesh","Meerut",0
"MOHD. SAJID SAIFI","Bahujan Mukti Party",1063,"Uttar Pradesh","Meerut",0
"ATUL KHODAWAL","Independent",818,"Uttar Pradesh","Meerut",0
"IQRA CHOUDHARY","Independent",734,"Uttar Pradesh","Meerut",0
"APHAJAL","Independent",382,"Uttar Pradesh","Meerut",0
"ANIL","Independent",348,"Uttar Pradesh","Meerut",0
"DR. SATYA PAL SINGH","Bharatiya Janata Party",423475,"Uttar Pradesh","Baghpat",1
"GHULAM MOHAMMED","Samajwadi Party",213609,"Uttar Pradesh","Baghpat",0
"AJIT SINGH","Rashtriya Lok Dal",199516,"Uttar Pradesh","Baghpat",0
"PRASHANT CHAUDHRI","Bahujan Samaj Party",141743,"Uttar Pradesh","Baghpat",0
"SOMENDAR DHAKA","Aam Aadmi Party",5828,"Uttar Pradesh","Baghpat",0
"JAIVINDRA KUMAR","Independent",3915,"Uttar Pradesh","Baghpat",0
"None of the Above","None of the Above",3911,"Uttar Pradesh","Baghpat",0
"ANIL KUMAR","Peace Party",3025,"Uttar Pradesh","Baghpat",0
"NISHANT","Independent",2708,"Uttar Pradesh","Baghpat",0
"RUKSANA","Independent",2092,"Uttar Pradesh","Baghpat",0
"SUBHASH CHAND KASHYAP","Independent",1967,"Uttar Pradesh","Baghpat",0
"ARVIND","Independent",992,"Uttar Pradesh","Baghpat",0
"KRISHAN PAL","Naitik Party",601,"Uttar Pradesh","Baghpat",0
"YUNUSH","Navbharat Nirman Party",441,"Uttar Pradesh","Baghpat",0
"AJAY PAL","Independent",440,"Uttar Pradesh","Baghpat",0
"VIJAY KUMAR SINGH","Bharatiya Janata Party",758482,"Uttar Pradesh","Ghaziabad",1
"RAJ BABBAR","Indian National Congress",191222,"Uttar Pradesh","Ghaziabad",0
"MUKUL","Bahujan Samaj Party",173085,"Uttar Pradesh","Ghaziabad",0
"SUDHAN KUMAR","Samajwadi Party",106984,"Uttar Pradesh","Ghaziabad",0
"SHAZIA ILMI MALIK","Aam Aadmi Party",89147,"Uttar Pradesh","Ghaziabad",0
"None of the Above","None of the Above",6205,"Uttar Pradesh","Ghaziabad",0
"SANJEEV KUMAR","Independent",4639,"Uttar Pradesh","Ghaziabad",0
"SABIR","Independent",3409,"Uttar Pradesh","Ghaziabad",0
"SURESH PAL","Bharatiya Sarvodaya Kranti Party",1591,"Uttar Pradesh","Ghaziabad",0
"NARESH GAUTAM","Bahujan Mukti Party",1548,"Uttar Pradesh","Ghaziabad",0
"SALEEM MALIK","Independent",1486,"Uttar Pradesh","Ghaziabad",0
"RINKU KUMAR TYAGI","Independent",1185,"Uttar Pradesh","Ghaziabad",0
"RAMPHAL SHAKYA","Independent",1094,"Uttar Pradesh","Ghaziabad",0
"VINOD KUMAR TYAGI","Independent",992,"Uttar Pradesh","Ghaziabad",0
"KESHAV CHOUDHARY","Independent",627,"Uttar Pradesh","Ghaziabad",0
"NITIN","Independent",624,"Uttar Pradesh","Ghaziabad",0
"DR.MAHESH  SHARMA","Bharatiya Janata Party",599702,"Uttar Pradesh","Gautam Buddha Nagar",1
"NARENDRA BHATI","Samajwadi Party",319490,"Uttar Pradesh","Gautam Buddha Nagar",0
"SATISH KUMAR","Bahujan Samaj Party",198237,"Uttar Pradesh","Gautam Buddha Nagar",0
"KISHAN PAL SINGH","Aam Aadmi Party",32358,"Uttar Pradesh","Gautam Buddha Nagar",0
"RAMESH CHAND TOMAR","Indian National Congress",12696,"Uttar Pradesh","Gautam Buddha Nagar",0
"MOHD. SABIR ANSARI","All India Trinamool Congress",4506,"Uttar Pradesh","Gautam Buddha Nagar",0
"KADEEM","Independent",4198,"Uttar Pradesh","Gautam Buddha Nagar",0
"DHARMENDER","Dharam Nirpeksh Dal",4130,"Uttar Pradesh","Gautam Buddha Nagar",0
"None of the Above","None of the Above",3837,"Uttar Pradesh","Gautam Buddha Nagar",0
"GRISA KUMAR","Independent",3496,"Uttar Pradesh","Gautam Buddha Nagar",0
"KADIR KHAN JAISWAL","Independent",2684,"Uttar Pradesh","Gautam Buddha Nagar",0
"SONIA SHARMA","Akhil Bharatiya Samajwadi Congress",2530,"Uttar Pradesh","Gautam Buddha Nagar",0
"UDAYVEER","Rashtriya Janta Party",1526,"Uttar Pradesh","Gautam Buddha Nagar",0
"RAKESH","Independent",1225,"Uttar Pradesh","Gautam Buddha Nagar",0
"LT COL SP SINGH","Nav Bharat Democratic Party",1183,"Uttar Pradesh","Gautam Buddha Nagar",0
"SAVITRI","Independent",996,"Uttar Pradesh","Gautam Buddha Nagar",0
"SUMITI","Independent",978,"Uttar Pradesh","Gautam Buddha Nagar",0
"SEEMA","Rashtriya Naujawan Dal",977,"Uttar Pradesh","Gautam Buddha Nagar",0
"MAHESH","Independent",794,"Uttar Pradesh","Gautam Buddha Nagar",0
"RUVEZ ALAM RAHI","National Loktantrik Party",773,"Uttar Pradesh","Gautam Buddha Nagar",0
"RAM VILAS","Bahujan Mukti Party",656,"Uttar Pradesh","Gautam Buddha Nagar",0
"GAJENDRA","Indian Oceanic Party",649,"Uttar Pradesh","Gautam Buddha Nagar",0
"SUNIL GAUTAM","Independent",623,"Uttar Pradesh","Gautam Buddha Nagar",0
"RAVINDER SHARMA","Rashtriya Kranti Party",503,"Uttar Pradesh","Gautam Buddha Nagar",0
"SAFRUDDIN","Independent",491,"Uttar Pradesh","Gautam Buddha Nagar",0
"BHOLA SINGH","Bharatiya Janata Party",604449,"Uttar Pradesh","Bulandshahr",1
"PRADEEP KUMAR JATAV","Bahujan Samaj Party",182476,"Uttar Pradesh","Bulandshahr",0
"KAMLESH","Samajwadi Party",128737,"Uttar Pradesh","Bulandshahr",0
"ANJU URF MUSKAN","Rashtriya Lok Dal",59116,"Uttar Pradesh","Bulandshahr",0
"DR. RAHUL DIPANKAR","Aam Aadmi Party",9727,"Uttar Pradesh","Bulandshahr",0
"None of the Above","None of the Above",6915,"Uttar Pradesh","Bulandshahr",0
"HARVIR","Independent",5690,"Uttar Pradesh","Bulandshahr",0
"PYARE LAL","Bahujan Mukti Party",4448,"Uttar Pradesh","Bulandshahr",0
"VIJAI PAL","Rashtriya Janpriya Party",4117,"Uttar Pradesh","Bulandshahr",0
"SURESH","Jai Maha Bharath Party",2580,"Uttar Pradesh","Bulandshahr",0
"RAGHURAJ PRATAP SINGH","Rashtriya Kranti Party",1455,"Uttar Pradesh","Bulandshahr",0
"SATISH KUMAR","Bharatiya Janata Party",514622,"Uttar Pradesh","Aligarh",1
"DR. ARVIND KUMAR SINGH","Bahujan Samaj Party",227886,"Uttar Pradesh","Aligarh",0
"ZAFAR ALAM","Samajwadi Party",226284,"Uttar Pradesh","Aligarh",0
"BIJENDRA SINGH","Indian National Congress",62674,"Uttar Pradesh","Aligarh",0
"MOHD. SABIR RAHI","Aam Aadmi Party",8978,"Uttar Pradesh","Aligarh",0
"None of the Above","None of the Above",6183,"Uttar Pradesh","Aligarh",0
"NATTHI LAL SHARMA","Independent",4659,"Uttar Pradesh","Aligarh",0
"AMITA SINGH JAT","Sarva Samaj Kalyan Party",3376,"Uttar Pradesh","Aligarh",0
"DURGESH CHANDRA GAUTAM","All India Trinamool Congress",3076,"Uttar Pradesh","Aligarh",0
"SANJAY KUMAR","Independent",1842,"Uttar Pradesh","Aligarh",0
"VINOD KUMAR BAGHEL","Rashtriya Samaj Paksha",1723,"Uttar Pradesh","Aligarh",0
"BADSHAH","Peace Party",978,"Uttar Pradesh","Aligarh",0
"DEVANAND","Lok Dal",785,"Uttar Pradesh","Aligarh",0
"RAKESH CHANDRA RAWAT","Rashtriya Sawarn Dal",665,"Uttar Pradesh","Aligarh",0
"PRADEEP KUMAR","Bahujan Mukti Party",626,"Uttar Pradesh","Aligarh",0
"RAJESH KUMAR DIWAKER","Bharatiya Janata Party",544277,"Uttar Pradesh","Hathras",1
"MANOJ KUMAR SONI","Bahujan Samaj Party",217891,"Uttar Pradesh","Hathras",0
"RAMJI LAL SUMAN","Samajwadi Party",180891,"Uttar Pradesh","Hathras",0
"NIRANJAN SINGH DHANGAR","Rashtriya Lok Dal",86109,"Uttar Pradesh","Hathras",0
"None of the Above","None of the Above",5669,"Uttar Pradesh","Hathras",0
"SUNHARI LAL","Aam Aadmi Party",5043,"Uttar Pradesh","Hathras",0
"NIRANJAN SINGH","Independent",2847,"Uttar Pradesh","Hathras",0
"OMPRKASH","Independent",2778,"Uttar Pradesh","Hathras",0
"RAJA RAM","Independent",2169,"Uttar Pradesh","Hathras",0
"DALVIR SINGH","Independent",1599,"Uttar Pradesh","Hathras",0
"HEMA MALINI","Bharatiya Janata Party",574633,"Uttar Pradesh","Mathura",1
"JAYANT CHAUDHARY","Rashtriya Lok Dal",243890,"Uttar Pradesh","Mathura",0
"PT. YOGESH KUMAR DWIVEDI","Bahujan Samaj Party",173572,"Uttar Pradesh","Mathura",0
"CHANDAN SINGH","Samajwadi Party",36673,"Uttar Pradesh","Mathura",0
"HEMA MALINI","Independent",10158,"Uttar Pradesh","Mathura",0
"ANUJ KUMAR GARG","Aam Aadmi Party",7858,"Uttar Pradesh","Mathura",0
"RADHACHARAN","Independent",4795,"Uttar Pradesh","Mathura",0
"OM PRAKASH","Independent",2847,"Uttar Pradesh","Mathura",0
"BHUDEV","Independent",2715,"Uttar Pradesh","Mathura",0
"SATISH CHANDRA SHARMA","Independent",2675,"Uttar Pradesh","Mathura",0
"MAHESH PRATAP SHARMA","Rashtriya Vikas Party",2396,"Uttar Pradesh","Mathura",0
"FAKKAR BABA 'RAMAYANI'","Independent",2160,"Uttar Pradesh","Mathura",0
"RAM BABU SAINI","Independent",2082,"Uttar Pradesh","Mathura",0
"None of the Above","None of the Above",1953,"Uttar Pradesh","Mathura",0
"THAKUR HEMENDRA VEER SINGH","Sarva Samaj Kalyan Party",1858,"Uttar Pradesh","Mathura",0
"PRAMOD KRISHNA","Independent",1759,"Uttar Pradesh","Mathura",0
"PARSOTTAM","Rashtriya mahan Gantantra Party",1338,"Uttar Pradesh","Mathura",0
"PT. UDYAN SHARMA 'MUNNA'","Peace Party",1066,"Uttar Pradesh","Mathura",0
"BHUPENDRA KUMAR  DHANGAR","Rashtriya Shoshit Samaj Party",1054,"Uttar Pradesh","Mathura",0
"MOHAN SHYAM","Gareeb Aadmi Party",731,"Uttar Pradesh","Mathura",0
"MAHARAM SINGH","Bahujan Mukti Party",655,"Uttar Pradesh","Mathura",0
"DR. RAM SHANKAR KATHERIA","Bharatiya Janata Party",583716,"Uttar Pradesh","Agra",1
"NARAYAN SINGH SUMAN","Bahujan Samaj Party",283453,"Uttar Pradesh","Agra",0
"MAHARAJ SINGH DHANGAR","Samajwadi Party",134708,"Uttar Pradesh","Agra",0
"UPENDRA SINGH","Indian National Congress",34834,"Uttar Pradesh","Agra",0
"RAVINDRA SINGH","Aam Aadmi Party",7804,"Uttar Pradesh","Agra",0
"None of the Above","None of the Above",5191,"Uttar Pradesh","Agra",0
"OM PRAKASH","Independent",4243,"Uttar Pradesh","Agra",0
"DINESH KUMAR GAUTAM","Independent",3657,"Uttar Pradesh","Agra",0
"ANIL","Bharatiya Kisan Parivartan Party",3646,"Uttar Pradesh","Agra",0
"VINOD KUMAR SINGH","Independent",2584,"Uttar Pradesh","Agra",0
"AMAR SINGH","Independent",2453,"Uttar Pradesh","Agra",0
"ASHOK KUMAR","Independent",1416,"Uttar Pradesh","Agra",0
"PREM SINGH","Bahujan Mukti Party",771,"Uttar Pradesh","Agra",0
"ANITA","VANCHITSAMAJ INSAAF PARTY",765,"Uttar Pradesh","Agra",0
"RAMESH","Janata Dal  (United)",602,"Uttar Pradesh","Agra",0
"CHANDRA PAL","Adarsh Samaj Party",557,"Uttar Pradesh","Agra",0
"BABULAL","Bharatiya Janata Party",426589,"Uttar Pradesh","Fatehpur Sikri",1
"SEEMA UPADHYAY","Bahujan Samaj Party",253483,"Uttar Pradesh","Fatehpur Sikri",0
"RANI PAKSHALIKA SINGH","Samajwadi Party",213397,"Uttar Pradesh","Fatehpur Sikri",0
"AMAR SINGH","Rashtriya Lok Dal",24185,"Uttar Pradesh","Fatehpur Sikri",0
"VIJAY SINGH KUSHWAHA","Sanyukt Samajwadi Dal",5223,"Uttar Pradesh","Fatehpur Sikri",0
"ANIL KUMAR","Independent",3809,"Uttar Pradesh","Fatehpur Sikri",0
"AMBEDKARI HASNURAM AMBEDKARI","Independent",3512,"Uttar Pradesh","Fatehpur Sikri",0
"SANTOSH KUMAR","Independent",3184,"Uttar Pradesh","Fatehpur Sikri",0
"LAXMI","Aam Aadmi Party",3117,"Uttar Pradesh","Fatehpur Sikri",0
"DIWAN SINGH","Independent",3101,"Uttar Pradesh","Fatehpur Sikri",0
"BRAJENDR SINGH","Independent",2725,"Uttar Pradesh","Fatehpur Sikri",0
"None of the Above","None of the Above",2677,"Uttar Pradesh","Fatehpur Sikri",0
"ASHOK KUMAR","Gareeb Aadmi Party",2553,"Uttar Pradesh","Fatehpur Sikri",0
"NATHOLI","Independent",2356,"Uttar Pradesh","Fatehpur Sikri",0
"SATISH KUMAR","Independent",2235,"Uttar Pradesh","Fatehpur Sikri",0
"RAM BRAJ YADAV","Independent",2057,"Uttar Pradesh","Fatehpur Sikri",0
"PANKAJ KUMAR SHARMA","Rashtriya Samanta Dal",2052,"Uttar Pradesh","Fatehpur Sikri",0
"RAM KUMAR DIXIT","Independent",1657,"Uttar Pradesh","Fatehpur Sikri",0
"SEEMA DEVI","Independent",1571,"Uttar Pradesh","Fatehpur Sikri",0
"MEGH SINGH","Peace Party",1529,"Uttar Pradesh","Fatehpur Sikri",0
"ROHAN SINGH","Bahujan Mukti Party",1063,"Uttar Pradesh","Fatehpur Sikri",0
"SHOBHNA BAUDDHA","Independent",1006,"Uttar Pradesh","Fatehpur Sikri",0
"KHEMRAJ SINGH","Independent",951,"Uttar Pradesh","Fatehpur Sikri",0
"PEETAM SINGH","Rashtriya Kranti Party",872,"Uttar Pradesh","Fatehpur Sikri",0
"PITAM SINGH","Janata Dal  (United)",691,"Uttar Pradesh","Fatehpur Sikri",0
"RAKESH SINGH DHANKAR","Independent",650,"Uttar Pradesh","Fatehpur Sikri",0
"MANIK","Lok Dal",643,"Uttar Pradesh","Fatehpur Sikri",0
"MAHAVIR SINGH SOLANKI","Independent",583,"Uttar Pradesh","Fatehpur Sikri",0
"MUNNA LAL","Rashtriya mahan Gantantra Party",497,"Uttar Pradesh","Fatehpur Sikri",0
"AKSHAY YADAV","Samajwadi Party",534583,"Uttar Pradesh","Firozabad",1
"PROF. S.P. SINGH BAGHEL","Bharatiya Janata Party",420524,"Uttar Pradesh","Firozabad",0
"TH. VISHWADEEP SINGH","Bahujan Samaj Party",118909,"Uttar Pradesh","Firozabad",0
"ATUL CHATURVEDI","Indian National Congress",7447,"Uttar Pradesh","Firozabad",0
"None of the Above","None of the Above",4654,"Uttar Pradesh","Firozabad",0
"UPENDRA SINGH","Bharatiya Kisan Parivartan Party",3696,"Uttar Pradesh","Firozabad",0
"SHAMSHER KHA","Peace Party",3526,"Uttar Pradesh","Firozabad",0
"RAKESH YADAV","Aam Aadmi Party",2808,"Uttar Pradesh","Firozabad",0
"RAJVEER","Independent",2425,"Uttar Pradesh","Firozabad",0
"MIRJA MUKARRAM BAIG","Independent",1470,"Uttar Pradesh","Firozabad",0
"JAY PRAKASH","Shivsena",1248,"Uttar Pradesh","Firozabad",0
"LAKSHMI  NARAYAN","Rashtriya Janwadi Party (Krantikari)",939,"Uttar Pradesh","Firozabad",0
"KHAJAN SINGH","Lok Dal",753,"Uttar Pradesh","Firozabad",0
"LAXMI","Bhartiya Shakti Chetna Party",620,"Uttar Pradesh","Firozabad",0
"RAJENDRA PRASAD","Bahujan Mukti Party",506,"Uttar Pradesh","Firozabad",0
"RAHAT AFROZ","Indian Union Muslim League",498,"Uttar Pradesh","Firozabad",0
"MULAYAM SINGH YADAV","Samajwadi Party",595918,"Uttar Pradesh","Mainpuri",1
"SHATRUGHAN SINGH CHAUHAN","Bharatiya Janata Party",231252,"Uttar Pradesh","Mainpuri",0
"DR. SANGHMITRA MAURYA","Bahujan Samaj Party",142833,"Uttar Pradesh","Mainpuri",0
"None of the Above","None of the Above",6323,"Uttar Pradesh","Mainpuri",0
"ALOK NANDAN","Independent",5645,"Uttar Pradesh","Mainpuri",0
"BABA HARDEV SINGH","Aam Aadmi Party",5588,"Uttar Pradesh","Mainpuri",0
"MUKESH KUMAR SHAKYA","Independent",2542,"Uttar Pradesh","Mainpuri",0
"HAKIM SINGH","Independent",2279,"Uttar Pradesh","Mainpuri",0
"ABU NASIM PATHAN","Peace Party",2095,"Uttar Pradesh","Mainpuri",0
"RAJESHWARI","Independent",1746,"Uttar Pradesh","Mainpuri",0
"MUKESH KUMAR","Independent",916,"Uttar Pradesh","Mainpuri",0
"SATENDRA VEER SINGH CHAUHAN","All India Forward Bloc",872,"Uttar Pradesh","Mainpuri",0
"ASHOK KUMAR","Independent",695,"Uttar Pradesh","Mainpuri",0
"SHISHUPAL SINGH","Bhartiya Shakti Chetna Party",561,"Uttar Pradesh","Mainpuri",0
"RAJVEER SINGH (RAJU BHAIYA)","Bharatiya Janata Party",474978,"Uttar Pradesh","Etah",1
"KU. DEVENDRA SINGH YADAV","Samajwadi Party",273977,"Uttar Pradesh","Etah",0
"NOOR MOHAMMAD KHAN","Bahujan Samaj Party",137127,"Uttar Pradesh","Etah",0
"TH. JOGINDRA SINGH BHADORIYA","Mahan Dal",12445,"Uttar Pradesh","Etah",0
"RAKESH GANDHI","Independent",7123,"Uttar Pradesh","Etah",0
"None of the Above","None of the Above",6201,"Uttar Pradesh","Etah",0
"RAJVEER SINGH","Independent",5848,"Uttar Pradesh","Etah",0
"HANS  RAJ SINGH","Aam Aadmi Party",2186,"Uttar Pradesh","Etah",0
"THAKUR HEMENDRA VEER SINGH","Sarva Samaj Kalyan Party",2034,"Uttar Pradesh","Etah",0
"VINAY","Bhartiya Shakti Chetna Party",2008,"Uttar Pradesh","Etah",0
"DANVEER","Independent",1333,"Uttar Pradesh","Etah",0
"RAJENDRA","Braj Vikas Party",1021,"Uttar Pradesh","Etah",0
"DHARMENDRA YADAV","Samajwadi Party",498378,"Uttar Pradesh","Badaun",1
"VAGISH PATHAK","Bharatiya Janata Party",332031,"Uttar Pradesh","Badaun",0
"AKMAL KHAN URF CHAMAN","Bahujan Samaj Party",156973,"Uttar Pradesh","Badaun",0
"None of the Above","None of the Above",6286,"Uttar Pradesh","Badaun",0
"PAGLANAND","Mahan Dal",5748,"Uttar Pradesh","Badaun",0
"MUNSHI LAL","Independent",5651,"Uttar Pradesh","Badaun",0
"ATUL KUMAR","Independent",4195,"Uttar Pradesh","Badaun",0
"HAR BHAGWAN","Independent",4083,"Uttar Pradesh","Badaun",0
"AJEET PAL SINGH","Peace Party",3421,"Uttar Pradesh","Badaun",0
"HEMA MEHRA","Aam Aadmi Party",2861,"Uttar Pradesh","Badaun",0
"REENA","Rashtriya Samanta Dal",2065,"Uttar Pradesh","Badaun",0
"ANIL KUMAR SHARMA","Labour Party of India (V.V. Prasad)",1993,"Uttar Pradesh","Badaun",0
"SANTOSH KUMAR GUPTA (SATYMARGI)","Republican Party of India (A)",1448,"Uttar Pradesh","Badaun",0
"MAHENDRA PAL","Bhartiya Shakti Chetna Party",860,"Uttar Pradesh","Badaun",0
"VIRENDRA PAL GUPTA","Rashtravadi Janata Party",810,"Uttar Pradesh","Badaun",0
"MADAN LAL","National Party",791,"Uttar Pradesh","Badaun",0
"DHARMENDRA KUMAR","Bharatiya Janata Party",409907,"Uttar Pradesh","Aonla",1
"KUNWAR SARVRAJ SINGH","Samajwadi Party",271478,"Uttar Pradesh","Aonla",0
"SUNITA SHAKYA","Bahujan Samaj Party",190200,"Uttar Pradesh","Aonla",0
"SALEEM IQBAL SHERVANI","Indian National Congress",93861,"Uttar Pradesh","Aonla",0
"None of the Above","None of the Above",10496,"Uttar Pradesh","Aonla",0
"YOGENDRA KUMAR VERMA","Akhil Bharat Hindu Mahasabha",4332,"Uttar Pradesh","Aonla",0
"ARSHADURRAZA KHAN","Independent",3019,"Uttar Pradesh","Aonla",0
"CAPTAIN P.C. SHARMA","Jawan Kisan Morcha",2711,"Uttar Pradesh","Aonla",0
"IRSHAD ANSARI ADVOCATE","Peace Party",2697,"Uttar Pradesh","Aonla",0
"NARESH SINGH SOLANKI","Aam Aadmi Party",2304,"Uttar Pradesh","Aonla",0
"MOHD. ZARRAR KHAN","Bhartiya Naujawan Inklav Party",1440,"Uttar Pradesh","Aonla",0
"PRAMOD KUMAR YADAV","Bhartiya Krishak Dal",1189,"Uttar Pradesh","Aonla",0
"OM VEER","Bhartiya Vikas Party",1152,"Uttar Pradesh","Aonla",0
"JITENDRA SINGH YADAV","Naitik Party",855,"Uttar Pradesh","Aonla",0
"SANTOSH KUMAR GANGWAR","Bharatiya Janata Party",518258,"Uttar Pradesh","Bareilly",1
"AYESHA ISLAM","Samajwadi Party",277573,"Uttar Pradesh","Bareilly",0
"UMESH GAUTAM","Bahujan Samaj Party",106049,"Uttar Pradesh","Bareilly",0
"PRAVEEN SINGH ARON","Indian National Congress",84213,"Uttar Pradesh","Bareilly",0
"MASSARAT WARSI (PAPPU BHAI)","Communist Party of India",7639,"Uttar Pradesh","Bareilly",0
"None of the Above","None of the Above",6737,"Uttar Pradesh","Bareilly",0
"SUNIL KUMAR","Aam Aadmi Party",3703,"Uttar Pradesh","Bareilly",0
"ASLAM ADVOCATE","Peace Party",3338,"Uttar Pradesh","Bareilly",0
"NETRAM","Independent",2038,"Uttar Pradesh","Bareilly",0
"SAYAD RASHID ALI","Independent",1885,"Uttar Pradesh","Bareilly",0
"KAMAL KISHORE ENGINEER","Independent",1806,"Uttar Pradesh","Bareilly",0
"MANOJ VIKAT","Independent",1567,"Uttar Pradesh","Bareilly",0
"LOTAN SINGH PATEL","Independent",1402,"Uttar Pradesh","Bareilly",0
"JAVED KHAN","Independent",964,"Uttar Pradesh","Bareilly",0
"LAEEK AHMAD","Naitik Party",719,"Uttar Pradesh","Bareilly",0
"MANEKA SANJAY GANDHI","Bharatiya Janata Party",546934,"Uttar Pradesh","Pilibhit",1
"BUDHSEN VERMA","Samajwadi Party",239882,"Uttar Pradesh","Pilibhit",0
"ANIS AHMAD KHAN ALIAS PHOOL BABU","Bahujan Samaj Party",196294,"Uttar Pradesh","Pilibhit",0
"SANJAY KAPOOR","Indian National Congress",29169,"Uttar Pradesh","Pilibhit",0
"None of the Above","None of the Above",11521,"Uttar Pradesh","Pilibhit",0
"MUNESH SINGH","Independent",6151,"Uttar Pradesh","Pilibhit",0
"RAJEEV AGRAWAL","Aam Aadmi Party",5547,"Uttar Pradesh","Pilibhit",0
"RAM AUTAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",3187,"Uttar Pradesh","Pilibhit",0
"RAVINDRA KUMAR DEVNATH","Independent",3145,"Uttar Pradesh","Pilibhit",0
"NILIMA SHARMA","Peace Party",2670,"Uttar Pradesh","Pilibhit",0
"MOHD NAEEM ANSARI","Independent",2617,"Uttar Pradesh","Pilibhit",0
"ARAMAN KHAN","Independent",2170,"Uttar Pradesh","Pilibhit",0
"SANJAY KUMAR","Naitik Party",1260,"Uttar Pradesh","Pilibhit",0
"KRISHNA RAJ","Bharatiya Janata Party",525132,"Uttar Pradesh","Shahjahanpur",1
"UMED SINGH KASHYAP","Bahujan Samaj Party",289603,"Uttar Pradesh","Shahjahanpur",0
"MITHILESH KUMAR","Samajwadi Party",242913,"Uttar Pradesh","Shahjahanpur",0
"CHETRAM","Indian National Congress",27011,"Uttar Pradesh","Shahjahanpur",0
"SUNITA SUJATA NAGPAL","Peace Party",12945,"Uttar Pradesh","Shahjahanpur",0
"None of the Above","None of the Above",9964,"Uttar Pradesh","Shahjahanpur",0
"ROSHAN LAL ALIAS ROSHAN KANAUJIYA","Independent",7871,"Uttar Pradesh","Shahjahanpur",0
"SMT REETA SINGH ALIAS REETA BHARTI","Aam Aadmi Party",3610,"Uttar Pradesh","Shahjahanpur",0
"KISHAN LAL","Lok Dal",2790,"Uttar Pradesh","Shahjahanpur",0
"RAKESH","Independent",2522,"Uttar Pradesh","Shahjahanpur",0
"RAMLAL VERMA","Bahujan Mukti Party",1613,"Uttar Pradesh","Shahjahanpur",0
"RAMMURTI","Bhartiya Krishak Dal",1384,"Uttar Pradesh","Shahjahanpur",0
"PYARE ALIAS RAJKUMAR GAUTAM","VANCHITSAMAJ INSAAF PARTY",1378,"Uttar Pradesh","Shahjahanpur",0
"MEVARAM","Naitik Party",1105,"Uttar Pradesh","Shahjahanpur",0
"AJAY KUMAR","Bharatiya Janata Party",398578,"Uttar Pradesh","Kheri",1
"ARVIND GIRI","Bahujan Samaj Party",288304,"Uttar Pradesh","Kheri",0
"ZAFAR ALI NAQVI","Indian National Congress",183940,"Uttar Pradesh","Kheri",0
"RAVI PRAKASH VERMA","Samajwadi Party",160112,"Uttar Pradesh","Kheri",0
"VIPNESH","Communist Party of India",16401,"Uttar Pradesh","Kheri",0
"None of the Above","None of the Above",12031,"Uttar Pradesh","Kheri",0
"RAMESHWARI","Independent",3514,"Uttar Pradesh","Kheri",0
"KRISHNA ADHIKARI","Communist Party of India  (Marxist-Leninist)  (Liberation)",3230,"Uttar Pradesh","Kheri",0
"ASHOK","Aam Aadmi Party",3165,"Uttar Pradesh","Kheri",0
"ASHRAF ALI","Peace Party",3124,"Uttar Pradesh","Kheri",0
"DINESH KUMAR","Bahujan Mukti Party",2861,"Uttar Pradesh","Kheri",0
"RAMGOPAL MISHRA","Independent",2608,"Uttar Pradesh","Kheri",0
"REKHA","Bharatiya Janata Party",360357,"Uttar Pradesh","Dhaurahra",1
"DAUD AHMAD","Bahujan Samaj Party",234682,"Uttar Pradesh","Dhaurahra",0
"ANAND BHADAURIYA","Samajwadi Party",234032,"Uttar Pradesh","Dhaurahra",0
"KUWAR JITIN PRASAD","Indian National Congress",170994,"Uttar Pradesh","Dhaurahra",0
"LEKHRAJ","All India Trinamool Congress",12776,"Uttar Pradesh","Dhaurahra",0
"ANAND KUMAR","Nationalist Congress Party",9967,"Uttar Pradesh","Dhaurahra",0
"None of the Above","None of the Above",8138,"Uttar Pradesh","Dhaurahra",0
"AJAY VERMA","Bharatiya Jan Kranti Dal (Democratic)",6144,"Uttar Pradesh","Dhaurahra",0
"SUKHVINDRA SINGH","Nav Bharat Democratic Party",4021,"Uttar Pradesh","Dhaurahra",0
